PERÍODO;EMPRESA;LOCALIDAD;PROVINCIA;INSUMO;CUPO TOTAL ASIGNADO ;PRODUCCIÓN ;VENTAS TOTALES ;PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.);PETROBRAS ARGENTINA S.A.;FOX PETROL S.A.;REFINERÍA DEL NORTE S.A.;SHELL ARGENTINA C.A.P.S.A.;YPF S.A.;ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.;OIL COMBUSTIBLES S.A.;TRAFIGURA ARGENTINA S.A.;REFI PAMPA S.A.;;
ago-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.250 ;2.128 ;3.539 ;189 ;0 ;0 ;0 ;2.215 ;1.135 ;0 ;0 ;0 ;0 ;;
ago-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;500 ;594 ;465 ;0 ;0 ;0 ;0 ;0 ;465 ;0 ;0 ;0 ;0 ;;
ago-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;1.536 ;653 ;0 ;0 ;0 ;0 ;0 ;653 ;0 ;0 ;0 ;0 ;;
ago-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.000 ;2.723 ;1.034 ;486 ;548 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
ago-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.083 ;5.647 ;4.328 ;622 ;0 ;0 ;0 ;692 ;2.473 ;64 ;477 ;0 ;0 ;;
ago-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.517 ;4.615 ;1.582 ;0 ;0 ;0 ;0 ;0 ;1.582 ;0 ;0 ;0 ;0 ;;
ago-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;5.000 ;3.807 ;4.166 ;0 ;398 ;0 ;503 ;0 ;2.899 ;0 ;366 ;0 ;0 ;;
ago-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;2.150 ;2.039 ;1.191 ;0 ;0 ;0 ;513 ;0 ;0 ;335 ;0 ;0 ;;
ago-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.000 ;1.417 ;1.383 ;0 ;0 ;0 ;0 ;516 ;867 ;0 ;0 ;0 ;0 ;;
sep-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.250 ;7.329 ;4.202 ;301 ;0 ;0 ;0 ;2.035 ;1.866 ;0 ;0 ;0 ;0 ;;
